"time","name","rssi","snr","battery","humidity","temperature","temperature_probe"
"2025-10-09 09:29:25.953924+00","lht52-01",-82,"12.8",2934,NULL,NULL,NULL
"2025-10-09 09:30:19.576624+00","lht52-01",-115,"-6",NULL,"54.6","18.64",NULL
"2025-10-09 09:50:19.598087+00","lht52-01",-82,"13.8",NULL,"54.3","19.79",NULL
"2025-10-09 10:10:19.656364+00","lht52-01",-82,"13.5",NULL,"53.4","21.16",NULL
"2025-10-09 10:30:19.680124+00","lht52-01",-82,"10.8",NULL,"53","22.42",NULL
"2025-10-09 10:50:19.713705+00","lht52-01",-82,"11.2",NULL,"52.4","24.03",NULL
"2025-10-09 11:10:19.765074+00","lht52-01",-84,"14",NULL,"51.7","25.63",NULL
"2025-10-09 11:30:19.799204+00","lht52-01",-83,"13.8",NULL,"50.7","27.04",NULL
"2025-10-09 11:50:19.842909+00","lht52-01",-82,"13.2",NULL,"49.8","28",NULL
"2025-10-09 12:10:19.890913+00","lht52-01",-81,"13.2",NULL,"49.4","28.65",NULL
"2025-10-09 12:30:19.921466+00","lht52-01",-82,"14",NULL,"48.7","29.24",NULL
"2025-10-09 12:50:19.960636+00","lht52-01",-83,"13.8",NULL,"47.8","29.58",NULL
"2025-10-09 13:10:20.000865+00","lht52-01",-83,"11.8",NULL,"47.2","29.53",NULL
"2025-10-09 13:30:20.042493+00","lht52-01",-115,"-6.5",NULL,"46.8","29.27",NULL
"2025-10-09 13:50:20.077329+00","lht52-01",-83,"9",NULL,"46.5","28.94",NULL
"2025-10-09 14:10:20.11212+00","lht52-01",-84,"14.8",NULL,"46.3","28.55",NULL
"2025-10-09 14:30:20.181174+00","lht52-01",-82,"13.8",NULL,"46.2","28.15",NULL
"2025-10-09 14:50:20.196452+00","lht52-01",-84,"13",NULL,"46.1","27.85",NULL
"2025-10-09 15:10:20.238604+00","lht52-01",-82,"14",NULL,"46","27.55",NULL
"2025-10-09 15:30:20.268093+00","lht52-01",-84,"12.5",NULL,"46.1","27.14",NULL
"2025-10-09 15:50:20.312951+00","lht52-01",-81,"11.5",NULL,"46.3","26.67",NULL
"2025-10-09 16:10:20.354942+00","lht52-01",-81,"11.2",NULL,"46.7","26.17",NULL
"2025-10-09 16:30:20.408322+00","lht52-01",-82,"13",NULL,"47.1","25.56",NULL
"2025-10-09 16:50:20.43264+00","lht52-01",-82,"13",NULL,"47.5","24.95",NULL
"2025-10-09 17:10:20.473342+00","lht52-01",-115,"-7",NULL,"48","24.35",NULL
"2025-10-09 17:30:20.489779+00","lht52-01",-81,"11.2",NULL,"48.4","23.72",NULL
"2025-10-09 17:50:20.536106+00","lht52-01",-82,"14",NULL,"48.9","23.18",NULL
"2025-10-09 18:10:20.821997+00","lht52-01",-84,"13.8",NULL,"49","22.72",NULL
"2025-10-09 18:30:20.624854+00","lht52-01",-85,"13.2",NULL,"49.3","22.31",NULL
"2025-10-09 18:50:20.660716+00","lht52-01",-84,"14.2",NULL,"49.6","21.91",NULL
"2025-10-09 19:10:20.690483+00","lht52-01",-86,"14",NULL,"50","21.55",NULL
"2025-10-09 19:30:20.744756+00","lht52-01",-84,"13.8",NULL,"50.3","21.17",NULL
"2025-10-09 19:50:20.791862+00","lht52-01",-82,"14",NULL,"50.6","20.84",NULL
"2025-10-09 20:10:20.80517+00","lht52-01",-81,"12.5",NULL,"50.7","20.48",NULL
"2025-10-09 20:30:20.840259+00","lht52-01",-114,"-1.2",NULL,"51.2","20.09",NULL
"2025-10-09 20:50:20.885751+00","lht52-01",-83,"13.8",NULL,"51.6","19.74",NULL
